param : od: alpha   cls   cr:=
#              hr US/kWh US/kWh
         1      1  0.01   5.0
;

param : ol: R  X  Imax  zl :=
#      ohm ohm   A zona
  2  3 0.9 0.9 200 1
  3  4 0.9 0.9 200 1
  3  5 0.9 0.9 200 1
  6  7 0.9 0.9 200 2
  6  8 0.9 0.9 200 2
  8  9 0.9 0.9 200 2
 10 11 0.9 0.9 200 3
 11 12 0.9 0.9 200 3
 11 13 0.9 0.9 200 3
 13 14 0.9 0.9 200 3
 16 17 0.9 0.9 200 4
 16 18 0.9 0.9 200 4
 16 19 0.9 0.9 200 4
 19 20 0.9 0.9 200 4
 21 22 0.9 0.9 200 5
 22 23 0.9 0.9 200 5
 22 24 0.9 0.9 200 5
 25 26 0.9 0.9 200 6
 26 28 0.9 0.9 200 6
 26 27 0.9 0.9 200 6
 26 29 0.9 0.9 200 6
 29 30 0.9 0.9 200 6
 29 31 0.9 0.9 200 6
 33 34 0.9 0.9 200 7
 33 35 0.9 0.9 200 7
 35 36 0.9 0.9 200 7
 37 38 0.9 0.9 200 8
 38 39 0.9 0.9 200 8
 40 41 0.9 0.9 200 9
 41 42 0.9 0.9 200 9
 41 43 0.9 0.9 200 9
 43 44 0.9 0.9 200 9
;

param : ob :  Tb     Smax    zb:=
#          Tb=1:SE
#       Tb=0:carga
         1     1     2700    0
         2     0        0    1
         3     0        0    1
         4     0        0    1
         5     0        0    1
         6     0        0    2
         7     0        0    2
         8     0        0    2
         9     0        0    2
        10     0        0    3
        11     0        0    3
        12     0        0    3
        13     0        0    3
        14     0        0    3
        15     1     2700    0
        16     0        0    4
        17     0        0    4
        18     0        0    4
        19     0        0    4
        20     0        0    4
        21     0        0    5
        22     0        0    5
        23     0        0    5
        24     0        0    5
        25     0        0    6
        26     0        0    6
        27     0        0    6
        28     0        0    6
        29     0        0    6
        30     0        0    6
        31     0        0    6
        32     1     2700    0
        33     0        0    7
        34     0        0    7
        35     0        0    7
        36     0        0    7
        37     0        0    8
        38     0        0    8
        39     0        0    8
        40     0        0    9
        41     0        0    9
        42     0        0    9
        43     0        0    9
        44     0        0    9;

param PD : 1 :=
#         kW 
  1   0
  2   0
  3 300
  4   0
  5   0
  6 300
  7   0
  8   0
  9 300
 10   0
 11 300
 12   0
 13 300
 14   0
 15   0
 16 300
 17   0
 18   0
 19   0
 20   0
 21   0
 22 300
 23   0
 24   0
 25   0
 26 300
 27   0
 28   0
 29 300
 30   0
 31   0
 32   0
 33 300
 34   0
 35   0
 36   0
 37   0
 38 600
 39   0
 40   0
 41 600
 42   0
 43 600
 44   0 
;

param QD : 1 :=
#       kVAr 
  1   0
  2   0
  3  60
  4   0
  5   0
  6  60
  7   0
  8   0
  9  60
 10   0
 11  60
 12   0
 13  60
 14   0
 15   0
 16  60
 17   0
 18   0
 19   0
 20   0
 21   0
 22  60
 23   0
 24   0
 25   0
 26  60
 27   0
 28   0
 29  60
 30   0
 31   0
 32   0
 33  60
 34   0
 35   0
 36   0
 37   0
 38 120   
 39   0   
 40   0   
 41 120   
 42   0   
 43 120   
 44   0   
;

param : och: Rch Ichmax ini :=
#          ohm     A   
  1   2  0.001  1000  1
  4  17  0.001  1000  0
  5   6  0.001  1000  1
  8  10  0.001  1000  1
  9  24  0.001  1000  0
 12  28  0.001  1000  0
 14  31  0.001  1000  0
 15  16  0.001  1000  1
 18  34  0.001  1000  0
 19  21  0.001  1000  1
 20  36  0.001  1000  0
 22  25  0.001  1000  1
 23  39  0.001  1000  0
 27  42  0.001  1000  0
 30  44  0.001  1000  0
 32  33  0.001  1000  1
 35  37  0.001  1000  1
 38  40  0.001  1000  1
;

param : oz:   zener :=
#              
          0       1
          1       1
          2       1
          3       1
          4       1
          5       1
          6       1
          7       1
          8       1
          9       1
;

param Vnom := 13.8; #kV

