#leitura dos dados do sistema
param : ol:      R       X   Imax :=
#                ohm     ohm    A
    1    2    0.0105  0.0047  100
    2    3    0.0105  0.0047  100
    3    4    0.0105  0.0047  100
    4    5    0.0105  0.0047  100
    5    6    0.0105  0.0047  100
    2    7    0.0102  0.0041  100
    3    8    0.0102  0.0041  100
    4    9    0.0102  0.0041  100
    5   10    0.0102  0.0041  100
    6   11    0.0102  0.0041  100
;

param : ob :  Tb    Tp :=
#            =1:SE 
#            =0:carga
         1     1     1      
         2     0     1
         3     0     1
         4     0     1
         5     0     1
         6     0     1
         7     0     0
         8     0     0
         9     0     0
        10     0     0
        11     0     0
;

param : obV :  Vmed      WV :=
#                kV
          1 0.12702   10000
          7 0.12593   10000
          8 0.12515   10000
          9 0.12435   10000
         10 0.12400   10000
         11 0.12373   10000
;
  
param : obPS :  PSmed      WPS :=
#                 
           1  11.3292    10000;   

param : obPD :  PDmed      WPD :=
#                 
           7    1.704    10000
           8    1.482    10000
           9    1.812    10000
          10    2.233    10000
          11    2.673    10000
; 

param : obQD :  QDmed      WQD :=
#                 
           7    0.023    10000
           8        0    10000
           9    0.078    10000
          10    0.011    10000
          11    0.017    10000
; 
