param : od: alpha   cls :=
#              hr US/kWh
         1   1000     1  
         2   6760     1 
         3   1000     1;

param : ol:      R       X    Imax :=
#              ohm     ohm       A
    1    2  0.1170  0.0480     600
    2    3  0.1073  0.0440     600
    3    4  0.1645  0.0457     600
    4    5  0.1495  0.0415     600
    5    6  0.1495  0.0415     600
    6    7  0.3144  0.0540     200
    7    8  0.2096  0.0360     200
    8    9  0.3144  0.0540     200
    9   10  0.2096  0.0360     200
   10   11  0.1310  0.0225     100
   11   12  0.1048  0.0180     100
    3   13  0.1572  0.0270     100
   13   14  0.2096  0.0360     100
   14   15  0.1048  0.0180     100
   15   16  0.0524  0.0090     100
    6   17  0.1794  0.0498     400
   17   18  0.1645  0.0457     400
   18   19  0.2079  0.0473     400
   19   20  0.1890  0.0430     400
   20   21  0.1890  0.0430     400
   21   22  0.2620  0.0450     200
   22   23  0.2620  0.0450     200
   23   24  0.3144  0.0540     200
   24   25  0.2096  0.0360     200
   25   26  0.1310  0.0225     100
   26   27  0.1048  0.0180     100
    7   28  0.1572  0.0270     100
   28   29  0.1572  0.0270     100
   29   30  0.1572  0.0270     100
   10   31  0.1572  0.0270     100
   31   32  0.2096  0.0360     100
   32   33  0.1572  0.0270     100
   33   34  0.1048  0.0180     100;

param : ob :  Tb :=
#             Tb=1:SE, Tb=0:carga
         1     1
         2     0
         3     0
         4     0
         5     0
         6     0
         7     0
         8     0
         9     0
        10     0
        11     0
        12     0
        13     0
        14     0
        15     0
        16     0
        17     0
        18     0
        19     0
        20     0
        21     0
        22     0
        23     0
        24     0
        25     0
        26     0
        27     0
        28     0
        29     0
        30     0
        31     0
        32     0
        33     0
        34     0;

param PD : 1     2     3 :=
#         kW    kW    kW 
    1      0     0     0
    2  130.3  76.7  46.0
    3      0     0     0
    4  130.3  76.7  46.0
    5  130.3  76.7  46.0
    6      0     0     0
    7      0     0     0
    8  130.3  76.7  46.0
    9  130.3  76.7  46.0
   10      0     0     0
   11  130.3  76.7  46.0
   12   77.6  45.7  27.4
   13   40.8  24.0  14.4
   14   40.8  24.0  14.4
   15   40.8  24.0  14.4
   16    7.6   4.5   2.7
   17  130.3  76.7  46.0
   18  130.3  76.7  46.0
   19  130.3  76.7  46.0
   20  130.3  76.7  46.0
   21  130.3  76.7  46.0
   22  130.3  76.7  46.0
   23  130.3  76.7  46.0
   24  130.3  76.7  46.0
   25  130.3  76.7  46.0
   26  130.3  76.7  46.0
   27   77.6  45.7  27.4
   28   42.5  25.0  15.0
   29   42.5  25.0  15.0
   30   42.5  25.0  15.0
   31   32.3  19.0  11.4
   32   32.3  19.0  11.4
   33   32.3  19.0  11.4
   34   32.3  19.0  11.4;

param QD : 1     2     3 :=
#       kVAr  kVAr  kVAr 
    1      0     0     0
    2   80.7  47.5  28.4
    3      0     0     0
    4   80.7  47.5  28.4
    5   80.7  47.5  28.4
    6      0     0     0
    7      0     0     0
    8   80.7  47.5  28.4
    9   80.7  47.5  28.4
   10      0     0     0
   11   80.7  47.5  28.4
   12   47.6  28.0  16.8
   13   25.5  15.0   9.0
   14   25.5  15.0   9.0
   15   25.5  15.0   9.0
   16    4.2   2.5   1.5
   17   80.7  47.5  28.4
   18   80.7  47.5  28.4
   19   80.7  47.5  28.4
   20   80.7  47.5  28.4
   21   80.7  47.5  28.4
   22   80.7  47.5  28.4
   23   80.7  47.5  28.4
   24   80.7  47.5  28.4
   25   80.7  47.5  28.4
   26   80.7  47.5  28.4
   27   48.1  28.3  17.0
   28   27.2  16.0   9.6
   29   27.2  16.0   9.6
   30   27.2  16.0   9.6
   31   21.2  12.5   7.5
   32   21.2  12.5   7.5
   33   21.2  12.5   7.5
   34   21.2  12.5   7.5
;
