param: Ob: Tp      Sd    S0   SL     CCS :=
#                kVA   kVA  kVA      U$
        1   1   0.000 10000    0       0
        2   0   0.001     0    0       0
        3   0   640.0     0    0       0
        4   0   320.0     0    0       0
        5   0   320.0     0    0       0
        6   0   320.0     0    0       0
        7   0   320.0     0    0       0
        8   0   320.0     0    0       0
        9   0   320.0     0    0       0
       10   0   320.0     0    0       0
       11   0   320.0     0    0       0
       12   0   320.0     0    0       0
       13   0   320.0     0    0       0
       14   0   320.0     0    0       0
       15   0   320.0     0    0       0
       16   0   320.0     0    0       0
       17   0   320.0     0    0       0
       18   0   320.0     0    0       0
       19   0   320.0     0    0       0
       20   0   320.0     0    0       0
       21   0   320.0     0    0       0
       22   0   320.0     0    0       0
       23   0   320.0     0    0       0
;

param: Ol:      Di :=
#               km
  1    10  0.20209 
  2     8 0.075604 
  3     8   2.7079 
  3     9   1.8202 
  3    16   4.2237 
  4     5   0.9402 
  4     6   1.5017 
  4     8   2.3053 
  4     9   3.4479 
  5    14   1.0162 
  5    23  0.64091 
  6     7  0.81807 
  6    14  0.81772 
  6    16   1.1752 
  7     8  0.68661 
  8     9   2.0567 
 10    14  0.42971 
 10    19  0.59489 
 10    20  0.69728 
 11    13  0.50527 
 11    21  0.63941 
 11    22  0.69245 
 12    15  0.98085 
 12    23  0.67855 
 13    15  0.62291 
 14    17  0.44821 
 14    23  0.48604 
 15    18  0.57114 
 15    21  0.60687 
 16    20  0.50185 
 16    22  0.94829 
 17    18  0.44113 
 19    20  0.73027 
 19    21    0.555 
 19    22  0.58266 
;

param: Oa:     RT      XT   IT    CFT :=
#          ohm/km  ohm/km    A     U$ 
        1  0.6045   0.429  230  10000
        4  0.3017   0.402  340  20000
;

#let Vnom := 34.5;
#let Vmax := 1.03*Vnom;
#let Vmin := 0.97*Vnom;
#let pf   := 0.9;
#let LF   := 0.35;
#let cl   := 0.05;
#let cs   := 0.0;
#let alfa := 8760;
#let K    := 20;
#let tj   := 0.1;
