# Dados do medidor
param: TS:  Ptotal    Qtotal:=
#       [W]           [Var]
1		0             0
2		0             0
3		0             0
4		0             0
5		0             0
6		0             0
7		0             0
8		0             0
9		0             0
10		0             0
11		0             0
12		0             0
13		0             0
14		0             0
15		0             0
16		0             0
17		0             0
18		0             0
19		0             0
20		0             0
21		0             0
22		0             0
23		0             0
24		0             0
25		0             0
26		0             0
27		0             0
28		0             0
29		0             0
30		0             0
31		126           44.6517
32		143           44.6517
33		149           46.5252
34		149           46.5252
35		149           46.5252
36		149           46.5252
37		149           46.5252
38		147           45.9007
39		145           45.2762
40		143           44.6517
41		143           44.3395
42		141           44.0272
43		139           43.4027
44		139           43.4027
45		136           42.4660
46		136           42.4660
47		134           41.8415
48		132           41.2170
49		132           41.2170
50		132           41.2170
51		130           40.5925
52		130           40.5925
53		130           40.5925
54		130           40.5925
55		128           39.9680
56		128           39.9680
57		128           39.9680
58		128           39.9680
59		128           39.9680
60		128           39.9680
61		128           39.9680
62		128           39.9680
63		128           39.9680
64		126           39.3435
65		126           39.3435
66		126           39.3435
67		126           39.3435
68		126           39.3435
69		126           39.3435
70		126           39.3435
71		128           39.9680
72		126           39.3435
73		128           39.9680
74		126           39.3435
75		128           39.9680
76		126           39.3435
77		128           39.9680
78		133           41.2170
79		132           40.5925
80		126           39.3435
81		0             0
82		0             0
83		0             0
84		0             0
85		0             0
86		0             0
87		0             0
88		0             0
89		0             0
90		0             0
91		0             0
92		0             0
93		4             1.2490
94		0             0
95		0             0
96		0             0
97		0             0
98		0             0
99		0             0
100		0             0
101		0             0
102		0             0
103		0             0
104		2             0.9367
105		0             0
106		0             0
107		0             0
108		0             0
109		0             0
110		4             0.6245
111		0             0
112		0             0
113		0             0
114		0             0
115		0             0
116		0             0
117		0             0
118		0             0
119		0             0
120		0             0
121		0             0
122		0             0
123		0             0
124		0             0
125		0             0
126		0             0
127		0             0
128		0             0
129		0             0
130		0             0
131		0             0
132		0             0
133		2             0.4163
134		0             0
135		0             0
136		0             0
137		0             0
138		0             0
139		0             0
140		0             0
141		0             0
142		0             0
143		0             0
144		0             0
145		0             0
146		2             1.2490
147		0             0
148		0             0
149		0             0
150		0             0
151		0             0
152		0             0
153		0             0
154		0             0
155		0             0
156		0             0
157		0             0
158		0             0
159		0             0
160		0             0
161		0             0
162		0             0
163		0             0
164		55            28.1025
165		139           43.4027
166		145           45.5885
167		147           45.9007
168		147           45.9007
169		145           45.2762
170		145           45.2762
171		145           45.2762
172		145           45.2762
173		143           44.6517
174		141           44.0272
175		139           43.4027
176		139           43.4027
177		136           42.4660
178		136           42.4660
179		134           41.8415
180		132           41.2170
181		132           41.2170
182		141           44.0272
183		133           41.2170
184		130           40.5925
185		130           40.5925
186		128           39.9680
187		128           39.9680
188		128           39.9680
189		128           39.9680
190		128           39.9680
191		128           39.9680
192		128           39.9680
193		128           39.9680
194		126           39.3435
195		126           39.3435
196		126           39.3435
197		126           39.3435
