param: T : PD       cOS :=
#         [kW]  [R$/kWh]
    1  1.9317   0.22419 
    2  1.6090   0.22419
    3  1.4079   0.22419
    4  1.3281   0.22419
    5  1.3834   0.22419
    6  1.6413   0.22419
    7  1.9395   0.22419
    8  1.7383   0.22419
    9  1.8341   0.22419
   10  1.8354   0.22419
   11  1.9312   0.22419
   12  2.3645   0.22419
   13  2.2038   0.22419
   14  2.2997   0.22419
   15  2.1659   0.22419
   16  2.5046   0.22419
   17  2.7490   0.32629
   18  4.0597   0.51792
   19  4.9924   0.51792
   20  5.4257   0.51792
   21  5.0491   0.32629
   22  4.4294   0.22419
   23  3.7692   0.22419
   24  2.7716   0.22419
;

param delta := 1; # horas 
