param: T : PD     PGD      cOS :=
#         [kW]    [kW] [R$/kWh]
    1  1.9317  0.0000  0.22419 
    2  1.6090  0.0000  0.22419
    3  1.4079  0.0000  0.22419
    4  1.3281  0.0000  0.22419
    5  1.3834  0.0796  0.22419
    6  1.6413  0.4565  0.22419
    7  1.9395  1.0742  0.22419
    8  1.7383  1.5790  0.22419
    9  1.8341  2.4343  0.22419
   10  1.8354  2.7488  0.22419
   11  1.9312  3.5092  0.22419
   12  2.3645  3.8988  0.22419
   13  2.2038  3.9734  0.22419
   14  2.2997  3.7105  0.22419
   15  2.1659  3.1671  0.22419
   16  2.5046  2.7282  0.22419
   17  2.7490  2.3926  0.32629
   18  4.0597  2.1764  0.51792
   19  4.9924  1.9083  0.51792
   20  5.4257  1.4257  0.51792
   21  5.0491  0.0034  0.32629
   22  4.4294  0.0000  0.22419
   23  3.7692  0.0000  0.22419
   24  2.7716  0.0000  0.22419
;

param delta := 1; # horas   
